# schema_version=cardbench.magic.rav-catalog.v1
# source=scryfall-api:e%3ARAV;unique=prints;order=set
# source_retrieved=2026-07-30
# expected_official_main_set_printing_count=306
# snapshot_sha256=1d511161958a6dc2c809e744d46c2bf8cb9854f03d7d5c34388c2b6b694ad267
# license=CardBench-authored manifest structure is MIT; card names and set identifiers are nominative interoperability facts; no card text, art, or source JSON is distributed.
# default_semantic_status=catalog-only:card-specific-rules-not-implemented
# columns=collector_number<TAB>name<TAB>semantic_status_override(optional)
1	Auratouched Mage	executable:RAV-AURATOUCHED-MAGE
2	Bathe in Light	executable:RAV-BATHE-IN-LIGHT
3	Benevolent Ancestor	executable:RAV-BENEVOLENT-ANCESTOR
4	Blazing Archon	executable:RAV-BLAZING-ARCHON
5	Boros Fury-Shield	executable:RAV-BOROS-FURY-SHIELD
6	Caregiver	executable:RAV-CAREGIVER
7	Chant of Vitu-Ghazi	executable:RAV-CHANT-OF-VITU-GHAZI
8	Concerted Effort	executable:RAV-CONCERTED-EFFORT
9	Conclave Equenaut	executable:RAV-CONCLAVE-EQUENAUT
10	Conclave Phalanx	executable:RAV-CONCLAVE-PHALANX
11	Conclave's Blessing	executable:RAV-CONCLAVES-BLESSING
12	Courier Hawk	executable:RAV-COURIER-HAWK
13	Devouring Light	executable:RAV-DEVOURING-LIGHT
14	Divebomber Griffin	executable:RAV-DIVEBOMBER-GRIFFIN
15	Dromad Purebred	executable:RAV-DROMAD-PUREBRED
16	Faith's Fetters	executable:RAV-FAITHS-FETTERS
17	Festival of the Guildpact	executable:RAV-FESTIVAL-OF-THE-GUILDPACT
18	Flickerform	executable:RAV-FLICKERFORM
19	Gate Hound	executable:RAV-GATE-HOUND
20	Ghosts of the Innocent	executable:RAV-GHOSTS-OF-THE-INNOCENT
21	Hour of Reckoning	executable:RAV-HOUR-OF-RECKONING
22	Hunted Lammasu	executable:RAV-HUNTED-LAMMASU
23	Leave No Trace	executable:RAV-LEAVE-NO-TRACE
24	Light of Sanction	executable:RAV-LIGHT-OF-SANCTION
25	Loxodon Gatekeeper	executable:RAV-LOXODON-GATEKEEPER
26	Nightguard Patrol	executable:RAV-NIGHTGUARD-PATROL
27	Oathsworn Giant	executable:RAV-OATHSWORN-GIANT
28	Sandsower	executable:RAV-SANDSOWER
